Date,Operator,Registration,AirType,Locations,aboard,fatalities,groudfatalities
01-Jul-95,"Garamut Aviation",P2-VTC,"de Havilland Canada C-7A Caribou","Kiunga, Papua New Guinea",3,3,0
07-Jul-95,"Air Taxi - Lab Flying Service Inc.",N6281J,"Piper PA-32R-300","Haines, Alaska",6,6,0
12-Jul-95,"Milne Bay Air",P2-MBI,"de Havilland Canada DHC-6 Twin Otter 300","Gumey, Papua New Guinea",15,15,0
17-Jul-95,"Merpati Nusantara Airlines",PK-NUT,"de Havilland Canada DHC-6 Twin Otter 300","Bintuni, Indonesia",18,1,0
18-Jul-95,"Military - Madagascar Air Force",5R-MMG,"Douglas C-47A","Near Antananivo, Madagascar",34,34,0
25-Jul-95,"Transniugini Airways",P2-TNT,"Britten-Norman BN-2A Islander","Near Karamui, Papua New Guinea",2,2,0
02-Aug-95,"Aero Air",RA-05708,"Antonov An-2R","Johannesburg, South Africa",3,3,0
09-Aug-95,"Aviateca",N125GU,"Boeing B-737-2H6","Mt. Chichontepec, San Vincente, El Salvador",65,65,0
09-Aug-95,"Bourag Indonesia Airlines",PK-KHL,"Hawker Siddeley HS-748 2A","Near Kaimana, Indonesia",10,10,0
14-Aug-95,"AIRES Colombia",HK-2594,"Embraer 110P1 Bandeirante","Nevada del Huila, Colombia",10,10,0
21-Aug-95,"Atlantic Southeast Airlines",N256AS,"Embraer 120-RT Brasilia","Near Carrollton, Georgia",29,10,0
01-Sep-95,"North Star Air Cargo",N30GA,"Shorts SC-7 Skyvan","Near Farewell, Alaska",1,1,0
02-Sep-95,"Military - Royal Air Force",XV239,"British Aerospace Nimrod MR-2P","Toronto, Ontario, Canada",7,7,0
02-Sep-95,"Adventure Airlines",N6234G,"Cessna 421C Golden Eagle","Beaver Dam, Arizona",8,8,0
09-Sep-95,"SAETA",FAC1152,"CASA 212 Aviocar 200","Near La Macarena, Colombia",22,21,0
11-Sep-95,"Ariana Afghan Airlines",YA-BAO,"Antonov AN-26B","Jalalabad, Afghanistan",51,3,0
12-Sep-95,"Military - Sri Lanka Air Force",CR861,"Antonov AN-32","Off Colombo, Sri Lanka",81,81,0
13-Sep-95,"Bimini Air Charter Inc.",N69303,"Cessna 402B","Marsh Harbour, Bahamas",9,5,0
15-Sep-95,"Malaysia Airlines",9M-MGH,"Fokker 50","Tawau, Malaysia",53,34,0
16-Sep-95,"Tamair",VH-NEJ,"Swearingen SA.227AC Metro III","Tamworth, Australia",3,2,0
21-Sep-95,"MIAT - Mongolian Airlines",BNMAU-10103,"Antonov AN-24RV","Near Moron, Mongolia",43,42,0
22-Sep-95,"Military - U.S. Air Force",77-0354,"Boeing B-707 (E-3B)","Anchorage, Alaska",24,24,0
24-Sep-95,"Norilsk Flight Company",RA-24553,"Mil Mi-8T","Sterligov Cape, Russia",15,15,0
27-Sep-95,"Western Straits Air",C-FEBX,"De Havilland Dash-3","Campbell River, British Columbia, Canada",10,8,0
03-Oct-95,"Sabang Merauke Raya Air Charter",PK-ZAG,"CASA 212","Gunung Antara, Indonesia",14,1,0
04-Oct-95,"Kirghizia Aba Zaoldoru",EX-25179,"Mil Mi-8MTV-1","Barskoon, Kirghizia",15,15,0
10-Oct-95,"Air Taxi - Durango Air Service",N4834V,"Cessna 172RG","Bayfield, Colorado",3,3,0
22-Oct-95,"Islands Nationair",?,"Britten-Norman BN-2A Trislander","Papua, New Guinea",13,13,0
31-Oct-95,"TACSA",XA-SVM,"Cessna 208B Caravan","Near Piedras Negras, Mexico",11,9,0
09-Nov-95,"Military - Argentine Air Force",TC-72,"Fokker F-27 Friendship 500","Near Luyaba, Argentina",53,53,0
13-Nov-95,"Nigeria Airways",5N-AUA,"Boeing B-737-2F9","Kaduna, Nigeria",137,9,0
22-Nov-95,"Military - Sri Lanka Air Force",CR862,"Antonov AN-32","Off Jaffna Peninsula , Sri Lanka",63,63,0
29-Nov-95,"Sabah Air",9M-AYW,"Bell 412 (helicopter)","Off Labuan, Malaysia",10,10,0
30-Nov-95,"Azerbaijan Airlines",4K-401,"Boeing 707-323C","Baku, Azerbaijan",6,2,0
03-Dec-95,"Cameroon Airlines",TJ-CBE,"Boeing B-737-2K9","Near Douala, Cameroon",78,72,0
05-Dec-95,"Azerbaijani Airlines",4K-65703,"Tupolev TU-134B-3","Near Nakhichevan, Azerbaijan, Russia",82,54,0
07-Dec-95,"Far East Aviation",RA-85164,"Tupolev TU-154B","Near Grossevichi, Russia",98,98,0
08-Dec-95,"Air St. Martin",F-OHRK,"Beechcraft 1900D","Near Belle Anse, Haiti",20,20,0
13-Dec-95,"Romanian Banat Air",YR-AMR,"Antonov AN-24B","Verona - Villafranca, Italy",49,49,0
18-Dec-95,"Trans Service Airlift",9Q-CRR,"Lockheed L-188C Electra","Cahungula, Angola",144,141,0
20-Dec-95,"American Airlines",N651AA,"Boeing B-757-223","Near Buga, Valle del Cauca, Colombia",164,160,0
22-Dec-95,"Island Airways",P2-NAM,"Britten Norman BN-2A-21 Trislander","Bagasin, Papua New Guinea",12,2,0
08-Jan-96,"African Air",RA-26222,"Antonov AN-32B","Kinshasa, Zaire",6,2,225
08-Jan-96,"Mustique Airways",J8-VAK,"Britten-Norman BN-2A-27 Islander","Off Bridgetown, Barbados",10,1,0
18-Jan-96,"Military - Nigerian Air Force",5N-AXO,"Hawker Siddeley HS-748","Near Kano, Nigeria",14,14,0
22-Jan-96,"Military - Sri Lanka Air Force",CH-587,"Mil Mi-17 (helicopter)","Off Point Pedro, Sri Lanka",39,39,0
29-Jan-96,"Soundsair",ZK-SFA,"Cessna 208 Caravan I","Near Blenheim, New Zealand",6,5,0
04-Feb-96,"Lineas Aereas del Caribe",HK-3979X,"McDonnell Douglas DC-8-55F","Asuncion, Paraguay",4,4,24
05-Feb-96,"Business Air Connection",N131T,"ConvairCV-440","St. Johns, Arizona",4,4,0
06-Feb-96,"Alas Nacionales, leased from Birgen Air",TC-GEN,"Boeing B-757-225","Off Puerto Plata, Domincan Republic",189,189,0
06-Feb-96,"A‚rotaxi Cachanilla",XA-SLQ,"Cessna 500 Citation","Near Ensenada, Mexico",8,8,0
11-Feb-96,"Military - Taliban Militia",?,"?","Near Kandahar, Afghanistan",20,20,0
12-Feb-96,"Hati Express",N224E,"GAF Nomad N-24A","Port-au-Prince, Hati",15,11,0
16-Feb-96,"AVCOM",TG-JAK,"de Havilland Canada DHC-6 Twin Otter 300","El Zapotal, Guatemala",2,2,0
19-Feb-96,"Private Wings",D-CASH,"Cessna 550 Citation","Salzburg, Austria",10,10,0
26-Feb-96,"Military - Sudanese Air Force",?,"Lockheed C-130H","Near Jabal Awliya, Sudan",91,91,0
27-Feb-96,"Aero Tropical",ER-ACE,"Antonov 12BP","Near Lukapa, Angola",8,8,0
29-Feb-96,"Compania de Aviacion Faucett SA (Peru)",OB-1451,"Boeing B-737-222","Arequipa, Peru",123,123,0
02-Mar-96,"Madrid Taxi A‚reo - Charter",PT-LSD,"Gates Learjet 25D","Sao Paulo, Brazil",9,9,0
09-Mar-96,"Military - Peruvian Army Aviation",EP561,"Mil Mi-17","Near Mesones Muro, Peru",23,23,0
12-Mar-96,"Akhal Air",EZ-22684,"Mil Mi-8T (helicopter)","Karabogazgol Bay, Turkmenistan",12,12,0
13-Mar-96,"Avia Air Aruba",P4-AVB,"Cessna 402","Near Punto Fijo, Venezuela",8,8,0
17-Mar-96,"Key West Sea Plane Service - Air Taxi",N9983Z,"Cessna U206G","Key West, Florida",5,5,0
03-Apr-96,"Military - U.S. Air Force",73-1149,"Boeing B-737-T43","Near Dubrovnik, Croatia",35,35,0
05-Apr-96,"Krasnoyarskie Avialinii",RA-76752,"Ilyushin IL-76TD","Near Petropavlovsk, Russia",20,20,0
05-Apr-96,"Formosa Airlines",B-12257,"Dornier 228-212","Off Matsu Island, Taiwan",17,6,0
11-Apr-96,"Private",N35207,"Cessna 177B","Cheyenne, Wyoming",3,3,0
03-May-96,"Federal Airlines",ST-FAG,"Antonov AN-24","Near Haj Yousif, Sudan",53,53,0
09-May-96,"Buffalo Narrows Airways",C-GDOB,"de Havilland Canada DHC-3 Otter","Near Terrace, British Columbia, Canada",2,2,0
10-May-96,"Aeroservicios Empresariales de Durango",XA-SWJ,"de Havilland Canada DHC-6 Twin Otter 200","Otaez, Mexico",19,16,0
11-May-96,"ValuJet",N904VJ,"McDonnell Douglas DC-9-32","Everglades, Miami, Florida",110,110,0
11-May-96,"Milne Bay Air",P2-ISD,"Britten Norman BN-2A-20 Trislander","Oumba, Papua New Guinea",10,1,0
19-May-96,"Loganair",G-BEDZ,"Britten-Norman BN-2A-26 Islander","Griesta, United Kingdom",3,3,0
06-Jun-96,"Hoseba",UR-76539,"Ilyushin 76MD","Kinshasa, Democratic Republic Congo",10,10,0
09-Jun-96,"Iran Air",EP-IRU,"Boeing 727-286","Rasht, Iran",7,7,0
12-Jun-96,"Military - Australian Army Aviation",A25-113/A25-209,"Sikorsky S-70 / Sikorsky S-70","Near Rollingstone, Queensland Australia",28,18,0
